,Region,Year,Gender,Death Rate,Cause of Death,Population,Total Deaths,Life Expectancy,Age Range
1,Rajasthan,2003,Male,8.14,Accident,68775840,559624,68.3,0-18
2,Rajasthan,2010,Male,7.29,Cardio,78461245,571951,69.8,51-65
3,Uttar Pradesh,2007,Female,8.83,Cardio,178302863,1574626,67.6,66+
4,Andhra Pradesh,2000,Male,6.89,Accident,45000000,309868,69.3,36-50
5,Bihar,2011,Male,9.17,Stroke,101636532,931719,65.2,66+
6,Andhra Pradesh,2006,Male,5.6,Accident,48914795,273907,71.5,66+
7,Rajasthan,2011,Male,6.11,Cardio,79952008,488248,68.1,51-65
8,Tamil Nadu,2001,Female,5.64,Resp,60899999,343226,74.5,36-50
9,Kerala,2011,Male,5,Stroke,39907422,199537,80,19-35
10,Rajasthan,2011,Female,6.54,Cancer,79952008,522614,70,66+
11,West Bengal,2009,Male,5.43,Accident,103821160,564239,69.8,19-35
12,Maharashtra,2008,Male,5,Accident,57670302,288351,71.6,19-35
13,Bihar,2000,Male,10.38,Infect,80000000,830431,61.7,51-65
14,West Bengal,2011,Male,6.33,Accident,107170016,678865,69.2,0-18
15,West Bengal,2005,Male,6.96,Accident,97434115,678474,68.4,36-50
16,Karnataka,2009,Male,6.89,Accident,64010506,440785,72.8,51-65
17,Kerala,2011,Male,5,Cancer,39907422,199537,80,19-35
18,Tamil Nadu,2013,Male,5,Accident,72813146,364065,77.4,19-35
19,Rajasthan,2010,Female,6.96,Cancer,78461245,545909,69.3,0-18
20,Tamil Nadu,2013,Female,5,Cardio,72813146,364065,77.6,36-50
21,Andhra Pradesh,2003,Female,6.5,Accident,46916583,305077,70.7,51-65
22,Karnataka,2000,Male,6.67,Cardio,55000000,366683,70.5,19-35
23,West Bengal,2008,Female,6.19,Infect,102186182,632606,67.7,19-35
24,Maharashtra,2007,Female,5.77,Cardio,56650591,326749,72.4,19-35
25,Maharashtra,2000,Male,5.95,Cardio,50000000,297531,71.5,36-50
26,Rajasthan,2003,Female,8.3,Accident,68775840,570531,66,51-65
27,Tamil Nadu,2001,Male,6.56,Resp,60899999,399273,74.8,19-35
28,Gujarat,2015,Female,5,Cardio,94210783,471053,71.8,51-65
29,Bihar,2003,Male,10.13,Accident,85397011,864923,63.5,0-18
30,West Bengal,2000,Male,7.62,Cardio,90000000,685946,67.6,19-35
31,Kerala,2015,Male,5,Accident,41857735,209288,80,36-50
32,Rajasthan,2008,Female,7.16,Cardio,75562588,541101,68.7,19-35
33,West Bengal,2000,Male,8.23,Infect,90000000,740429,68.8,51-65
34,Andhra Pradesh,2002,Female,6.79,Cardio,46268820,314045,69.4,0-18
35,Andhra Pradesh,2003,Female,5.83,Stroke,46916583,273756,70.9,0-18
36,West Bengal,2006,Female,6.17,Infect,98993061,610408,68.9,36-50
37,Rajasthan,2005,Male,7.49,Accident,71414150,535197,67.9,36-50
38,Uttar Pradesh,2004,Male,9.13,Accident,165571933,1510853,65.6,36-50
39,Bihar,2003,Female,9.31,Stroke,85397011,794907,62.7,51-65
40,Andhra Pradesh,2004,Male,7.36,Cardio,47573415,350113,72.7,19-35
41,Tamil Nadu,2014,Female,5,Stroke,73905343,369526,79.1,19-35
42,Andhra Pradesh,2009,Female,5.62,Diabetes,50998113,286484,71.6,51-65
43,Kerala,2001,Male,5.84,Resp,35420000,206906,78.4,51-65
44,Kerala,2006,Female,5,Cardio,37596820,187984,80,51-65
45,Maharashtra,2007,Male,5.83,Infect,56650591,330509,71.7,19-35
46,Gujarat,2002,Male,7.39,Cardio,72828000,538462,69.2,0-18
47,Gujarat,2010,Female,5.73,Infect,85329609,488883,71.8,19-35
